gene_id	is_shared
b0002	2
b0003	2
b0004	2
b0006	2
b0008	1
b0009	1
b0010	1
b0011	1
b0013	1
b0014	2
b0015	2
b0018	1
b0019	2
b0020	1
b0021	1
b0023	2
b0024	1
b0025	2
b0026	2
b0027	2
b0028	2
b0029	2
b0030	1
b0031	2
b0032	2
b0033	2
b0034	1
b0035	1
b0036	1
b0037	1
b0039	1
b0040	1
b0041	1
b0042	1
b0043	1
b0044	1
b0046	1
b0047	1
b0048	2
b0049	2
b0050	2
b0051	2
b0052	2
b0053	2
b0054	2
b0055	2
b0058	2
b0059	2
b0060	1
b0061	1
b0062	1
b0063	1
b0064	1
b0065	1
b0066	2
b0067	2
b0068	2
b0069	1
b0070	1
b0071	2
b0072	2
b0073	2
b0074	2
b0076	1
b0077	1
b0078	1
b0080	2
b0081	2
b0082	2
b0083	2
b0084	2
b0085	2
b0086	2
b0087	2
b0088	2
b0089	2
b0090	2
b0091	2
b0092	1
b0093	2
b0094	2
b0095	1
b0096	2
b0097	2
b0098	2
b0099	2
b0101	1
b0102	2
b0103	2
b0104	1
b0106	1
b0108	1
b0109	2
b0110	1
b0111	1
b0112	2
b0113	2
b0114	2
b0115	2
b0116	2
b0117	1
b0118	2
b0119	1
b0120	2
b0121	2
b0122	1
b0123	1
b0124	1
b0125	2
b0126	2
b0127	2
b0128	2
b0129	1
b0130	1
b0131	2
b0132	1
b0133	2
b0134	2
b0136	1
b0137	1
b0140	1
b0141	1
b0142	2
b0143	2
b0144	2
b0145	2
b0146	2
b0147	1
b0148	1
b0149	2
b0150	1
b0151	1
b0152	1
b0153	1
b0154	2
b0155	1
b0156	2
b0157	1
b0158	1
b0159	2
b0161	1
b0162	1
b0163	2
b0164	1
b0166	2
b0167	2
b0168	2
b0169	2
b0170	2
b0171	2
b0172	2
b0173	2
b0174	2
b0175	2
b0176	2
b0177	2
b0178	2
b0179	2
b0180	2
b0181	2
b0182	2
b0183	2
b0184	2
b0185	2
b0186	1
b0187	1
b0188	2
b0189	2
b0190	1
b0192	1
b0193	1
b0194	2
b0195	2
b0196	2
b0197	2
b0198	2
b0199	2
b0200	2
b0207	1
b0208	1
b0209	2
b0210	1
b0211	2
b0212	2
b0213	2
b0214	2
b0215	2
b0217	1
b0218	1
b0219	1
b0220	1
b0221	1
b0222	2
b0223	2
b0224	1
b0225	1
b0226	1
b0227	1
b0228	1
b0229	1
b0230	1
b0231	1
b0234	1
b0236	1
b0237	2
b0238	2
b0239	2
b0240	1
b0241	1
b0242	2
b0243	2
b0287	1
b0299	1
b0301	1
b0303	1
b0304	1
b0305	1
b0306	1
b0307	1
b0308	1
b0319	1
b0320	1
b0321	1
b0323	1
b0324	1
b0325	1
b0326	1
b0327	1
b0328	1
b0343	1
b0344	1
b0345	1
b0347	1
b0348	1
b0350	1
b0351	1
b0352	1
b0353	1
b0354	1
b0355	1
b0356	1
b0357	1
b0358	1
b0359	1
b0360	1
b0364	1
b0365	1
b0366	1
