gene_id	likelihood	aic	w
aln_w	-11597.3259170626	23208.7	0.0988734
aln_w	-4483.37653629797	8980.75	0.130057
aln_w	-6066.56605800402	12147.1	0.104723
aln_w	-3923.2637244479	7860.53	0.145625
aln_w	-6578.74378502132	13171.5	0.0848569
aln_w	-4641.84306239124	9297.69	0.0793658
aln_w	-6911.84531257008	13837.7	0.207258
aln_w	-763.459871510667	1540.92	0.171531
aln_w	-4913.04595693872	9840.09	0.168066
aln_w	-12659.0132641796	25332	0.138188
aln_w	-2494.37343850708	5002.75	0.170059
aln_w	-2364.08204584949	4742.16	0.189583
aln_w	-4302.58589429911	8619.17	0.0854683
aln_w	-4143.52619625502	8301.05	0.140931
aln_w	-4981.41938996591	9976.84	0.105947
aln_w	-12062.3285039892	24138.7	0.0486485
aln_w	-2234.99654839723	4483.99	0.10495
aln_w	-4346.50695875313	8707.01	0.113838
aln_w	-1783.99198748194	3581.98	0.132838
aln_w	-3686.03603309173	7386.07	0.116198
aln_w	-5243.61060770882	10501.2	0.161198
aln_w	-6246.38297796542	12506.8	0.138511
aln_w	-12054.2870640565	24122.6	0.152356
aln_w	-4049.63470751777	8113.27	0.115217
aln_w	-3062.96497307544	6139.93	0.106637
aln_w	-13428.9370364911	26871.9	0.136012
aln_w	-4064.38309694869	8142.77	0.166668
aln_w	-8740.23613149929	17494.5	0.166567
aln_w	-5094.8610255049	10203.7	0.163386
aln_w	-2890.273636583	5794.55	0.111045
aln_w	-6071.81371835665	12157.6	0.0771632
aln_w	-4986.78124223345	9987.56	0.0893206
aln_w	-7156.83425437841	14327.7	0.0974097
aln_w	-4309.03919900866	8632.08	0.0596961
aln_w	-1914.46113510675	3842.92	0.117693
aln_w	-4339.7862360129	8693.57	0.128498
aln_w	-1513.79493617266	3041.59	0.110137
aln_w	-7337.98739906868	14690	0.108084
aln_w	-7411.20858606474	14836.4	0.161883
aln_w	-7454.7185876541	14923.4	0.195694
aln_w	-4051.21812884881	8116.44	0.0567569
aln_w	-6936.07402957696	13886.1	0.133698
aln_w	-5552.8216237763	11119.6	0.0990532
aln_w	-5242.45626324006	10498.9	0.145508
aln_w	-6453.49850596075	12921	0.0895062
aln_w	-4087.145124269	8188.29	0.173915
aln_w	-4541.15428465897	9096.31	0.0372093
aln_w	-3309.21555497284	6632.43	0.0636613
aln_w	-3358.88271522389	6731.77	0.386425
aln_w	-10929.9988404291	21874	0.0778905
aln_w	-2387.0012620106	4788	0.204322
aln_w	-4204.45181032379	8422.9	0.190402
aln_w	-3810.27644162784	7634.55	0.217678
aln_w	-4821.83500626174	9657.67	0.183033
aln_w	-6879.02409569141	13772	0.125413
aln_w	-3354.1249316999	6722.25	0.08094
aln_w	-9598.65612628195	19211.3	0.0824546
aln_w	-7522.68999901904	15059.4	0.140668
aln_w	-4934.95397917072	9883.91	0.0649813
aln_w	-10471.9105927192	20957.8	0.0636156
aln_w	-3202.94944760252	6419.9	0.060419
aln_w	-3984.67327998122	7983.35	0.116022
aln_w	-2304.64312980014	4623.29	0.130932
aln_w	-3096.13200123224	6206.26	0.113725
aln_w	-4221.871974289	8457.74	0.0956816
aln_w	-3403.35061565472	6820.7	0.0798475
aln_w	-1733.31884383992	3480.64	0.110005
aln_w	-4760.3928718385	9534.79	0.14055
aln_w	-4223.65648043395	8461.31	0.126902
aln_w	-3057.53601058947	6129.07	0.196948
aln_w	-6964.19507581333	13942.4	0.14867
aln_w	-5389.03913265186	10792.1	0.2169
aln_w	-1443.8469601938	2901.69	0.027536
aln_w	-4055.68566153848	8125.37	0.212549
aln_w	-12356.7094791291	24727.4	0.119178
aln_w	-5671.32688313922	11356.7	0.0997824
aln_w	-1358.50208684154	2731	0.0670734
aln_w	-3465.58459836963	6945.17	0.143178
aln_w	-1608.23765482792	3230.48	0.077066
aln_w	-3451.10773269043	6916.22	0.0656075
aln_w	-13733.9885779895	27482	0.131967
aln_w	-3425.3092585955	6864.62	0.112251
aln_w	-2145.54978592403	4305.1	0.0699718
aln_w	-3331.09381102725	6676.19	0.184806
aln_w	-2674.67205424584	5363.34	0.0547499
aln_w	-2312.0453895116	4638.09	0.122778
aln_w	-6473.71033267432	12961.4	0.178219
aln_w	-3799.02380577769	7612.05	0.164573
aln_w	-4359.57475973264	8733.15	0.178472
aln_w	-6740.60562358689	13495.2	0.189748
aln_w	-10795.9605110201	21605.9	0.116363
aln_w	-2419.1794067505	4852.36	0.219869
aln_w	-4387.59816581994	8789.2	0.111263
aln_w	-1712.21768208999	3438.44	0.0751721
aln_w	-3567.76945883198	7149.54	0.132799
aln_w	-5682.38932942294	11378.8	0.118673
aln_w	-2862.98888321567	5739.98	0.109197
aln_w	-14296.7474615303	28607.5	0.0733151
aln_w	-3675.06743147862	7364.13	0.0735871
aln_w	-9232.7839323752	18479.6	0.282325
aln_w	-1475.29792129601	2964.6	0.183438
aln_w	-7237.73022591468	14489.5	0.0944471
aln_w	-3585.5438916149	7185.09	0.164872
aln_w	-2339.58156912989	4693.16	0.290519
aln_w	-3441.98317839066	6897.97	0.0768999
aln_w	-2951.21153166143	5916.42	0.0653553
aln_w	-4824.29043467288	9662.58	0.102168
aln_w	-2745.79030948617	5505.58	0.141334
aln_w	-4683.66780492716	9381.34	0.130806
aln_w	-6969.91825367947	13953.8	0.198179
aln_w	-4486.26344147875	8986.53	0.208466
aln_w	-4157.47342723341	8328.95	0.197813
aln_w	-2243.05769896954	4500.12	0.0957883
aln_w	-3559.49490767246	7132.99	0.111446
aln_w	-2427.13830960929	4868.28	0.076463
aln_w	-3617.70644134218	7249.41	0.101316
aln_w	-7054.04844901401	14122.1	0.13466
aln_w	-1746.50431318562	3507.01	0.0523093
aln_w	-7095.30366657046	14204.6	0.185093
aln_w	-5101.43598934453	10216.9	0.0868904
aln_w	-6525.60443808527	13065.2	0.162254
aln_w	-5759.72042702537	11533.4	0.198143
aln_w	-4946.18997100028	9906.38	0.304202
aln_w	-3594.56979903698	7203.14	0.312601
aln_w	-4333.94944675121	8681.9	0.126627
aln_w	-6623.16645352685	13260.3	0.147372
aln_w	-6253.38468965915	12520.8	0.133947
aln_w	-4871.51746000905	9757.03	0.100358
aln_w	-4278.09317325762	8570.19	0.0581013
aln_w	-1241.29206755121	2496.58	0.12683
aln_w	-7789.48029070658	15593	0.104649
aln_w	-4251.07048991162	8516.14	0.121037
aln_w	-6104.03239288805	12222.1	0.154159
aln_w	-1972.47009294796	3958.94	0.141675
aln_w	-1774.31744909568	3562.63	0.137465
aln_w	-5172.37845977733	10358.8	0.156456
aln_w	-2562.5747408103	5139.15	0.101649
aln_w	-8493.08697054217	17000.2	0.0821121
aln_w	-4896.72277294357	9807.45	0.169331
aln_w	-6715.52545814516	13445.1	0.112389
aln_w	-5370.8007227101	10755.6	0.212066
aln_w	-3148.89550989395	6311.79	0.164046
aln_w	-1578.53892183791	3171.08	0.136682
aln_w	-4984.14086497182	9982.28	0.137982
aln_w	-2286.05309979397	4586.11	0.0475407
aln_w	-4687.16600569113	9388.33	0.0465758
aln_w	-9024.10450857611	18062.2	0.0533257
aln_w	-1033.80868747591	2081.62	0.0804811
aln_w	-10729.60999588	21473.2	0.251541
