gene_id	likelihood	aic	w
b0002	-3515.55063276174	7047.1	0.02717
b0003	-1324.82888680398	2665.66	0.0202202
b0004	-1786.99711002811	3589.99	0.104442
b0006	-1086.32908353414	2188.66	0.127364
b0008	-1302.38553797626	2620.77	0
b0009	-822.977575150414	1661.96	0.122755
b0010	-773.182982356661	1562.37	0
b0011	-1032.11773698813	2080.24	0.0423095
b0013	-560.546462006824	1137.09	0.177118
b0014	-2585.94889990894	5187.9	0
b0015	-1558.46154330732	3132.92	0.0897777
b0018	-269.529981499578	555.06	5.0232e-09
b0019	-1612.09714003048	3240.19	0.139919
b0020	-1242.06342787309	2500.13	17.7214
b0021	-673.303904865987	1362.61	5.90786
b0023	-341.933850597729	699.868	1.07498e-06
b0024	-298.665762507815	613.332	10.0666
b0025	-1307.76892376093	2631.54	0
b0026	-3883.80366099473	7783.61	0
b0027	-651.512242926628	1319.02	2.00038e-07
b0028	-603.955207462913	1223.91	0
b0029	-1304.9383973629	2625.88	0
b0030	-1424.04600650538	2864.09	0.0468353
b0031	-1150.56167533576	2317.12	0.0609708
b0032	-1608.78896921622	3233.58	0
b0033	-4559.6751929623	9135.35	0.0113618
b0034	-714.996675283926	1445.99	0.260309
b0035	-851.939212458033	1719.88	0.20449
b0036	-1279.38744441781	2574.77	0.893083
b0037	-2280.23896720374	4576.48	0.224796
b0039	-1529.33227013434	3074.66	0
b0040	-2044.56485584494	4105.13	0
b0041	-1098.15667119741	2212.31	0
b0042	-1276.71317556833	2569.43	0
b0043	-1827.6841332148	3671.37	0.0166988
b0044	-386.137563394852	788.275	0
b0046	-740.645682882583	1497.29	0.240129
b0047	-2555.1821409433	5126.36	0.0888604
b0048	-660.373373480352	1336.75	0
b0049	-1168.52762638547	2353.06	0
b0050	-508.573787399663	1033.15	0
b0051	-1145.80553970899	2307.61	0
b0052	-1434.50710385558	2885.01	0.138153
b0053	-1755.78949524779	3527.58	0
b0054	-3218.50854535239	6453.02	0.0643959
b0055	-1126.5891499667	2269.18	0.0892119
b0058	-914.631071077888	1845.26	0
b0059	-3968.56018237893	7953.12	0.0368217
b0060	-3329.6232682983	6675.25	0.0153594
b0061	-926.94682643142	1869.89	2.87579
b0062	-2096.61143983327	4209.22	0.0142261
b0063	-2420.51948908986	4857.04	0.176504
b0064	-1217.54611411836	2451.09	0.0557852
b0065	-1082.50035635029	2181	0.0389094
b0066	-1054.42749055314	2124.85	0.0350819
b0067	-2374.07192690064	4764.14	0.103683
b0068	-1473.75994295543	2963.52	0.117741
b0069	-2463.83650191738	4943.67	0.0783014
b0070	-1580.18128747592	3176.36	0.143721
b0071	-823.091296509964	1662.18	0
b0072	-1963.87843703869	3943.76	0.124833
b0073	-1580.63644687054	3177.27	0.0219534
b0074	-2191.59748103867	4399.19	0.0146544
b0076	-1549.07206856539	3114.14	0.0975523
b0077	-2518.87041150448	5053.74	0.0645742
b0078	-695.642716067324	1407.29	0.84013
b0080	-1404.97534463692	2825.95	0.044646
b0081	-626.442672451835	1268.89	33.4437
b0082	-1282.5495335492	2581.1	0.176892
b0083	-484.780602314213	985.561	4.89455e-09
b0084	-2403.30096876785	4822.6	0.212428
b0085	-2087.00886212358	4190.02	0.206338
b0086	-1891.2192824232	3798.44	0.041764
b0087	-1457.67384424774	2931.35	0
b0088	-1986.65628353643	3989.31	0.0337505
b0089	-1713.9696649505	3443.94	0
b0090	-1485.71065891233	2987.42	0.0454553
b0091	-2065.66428028006	4147.33	0.0231929
b0092	-1284.39016678535	2584.78	0
b0093	-1131.64407004913	2279.29	0.121878
b0094	-1708.10017917186	3432.2	0
b0095	-1519.07549153898	3054.15	0.273058
b0096	-1234.38484708794	2484.77	0
b0097	-801.907703659009	1619.82	0
b0098	-3721.4891974945	7458.98	0
b0099	-551.825956917216	1119.65	0.0398136
b0101	-268.237524555673	552.475	0
b0102	-1002.99592050117	2021.99	0
b0103	-823.861500097928	1663.72	0
b0104	-1464.72889431181	2945.46	0
b0106	-1699.71597254302	3415.43	0.151362
b0108	-611.606706402551	1239.21	0.0565962
b0109	-1248.95430297167	2513.91	0.248754
b0110	-784.17994381837	1584.36	0.171532
b0111	-1162.49959703801	2341	0
b0112	-1984.05155974448	3984.1	0.0206886
b0113	-1033.41291485408	2082.83	0
b0114	-3676.06611350522	7368.13	0.0166162
b0115	-2620.93833240237	5257.88	0.037156
b0116	-1943.75787404624	3903.52	0
b0117	-2799.11575359436	5614.23	0.163371
b0118	-3760.63655462371	7537.27	0
b0119	-538.633338100392	1093.27	0
b0120	-1062.57435254993	2141.15	0
b0121	-1210.00141791003	2436	0.0419692
b0122	-641.108991332454	1298.22	0
b0123	-2265.49767071996	4547	0.0650578
b0124	-3465.6670433095	6947.33	0.0480787
b0125	-732.276271621798	1480.55	8.7141
b0126	-918.709557571578	1853.42	0
b0127	-1268.80126591018	2553.6	0
b0128	-1023.18932485441	2062.38	0
b0129	-621.04613370121	1258.09	0.0549972
b0130	-1789.67421046036	3595.35	0.121703
b0131	-498.0894057727	1012.18	0.000481077
b0132	-1411.06026349055	2838.12	0.122873
b0133	-1271.30375159736	2558.61	0.017077
b0134	-1212.8404569728	2441.68	0.13424
b0136	-1097.22704256703	2210.45	0.161509
b0137	-919.693605746598	1855.39	0.0757979
b0140	-1054.83847783794	2125.68	0.12993
b0141	-817.671830003254	1651.34	0
b0142	-768.719009422467	1553.44	0.0887067
b0143	-1902.12765384359	3820.26	0
b0144	-1293.50030007611	2603	0.0560252
b0145	-600.897009031452	1217.79	7.50368e-08
b0146	-990.077551655655	1996.16	0.788819
b0147	-738.241423315286	1492.48	0
b0148	-3563.16766882659	7142.34	0.143959
b0149	-3680.81648198079	7377.63	0.0139477
b0150	-4689.82469833103	9395.65	0.0703758
b0151	-1114.44116904111	2244.88	0.127482
b0152	-1267.04918877304	2550.1	0.0297726
b0153	-2820.75851187795	5657.52	0.0167449
b0154	-1853.09273584269	3722.19	0.0507542
b0155	-1921.37806482147	3858.76	0
b0156	-470.639061011913	957.278	0
b0157	-851.951150301937	1719.9	5.65737
b0158	-1097.20911593877	2210.42	0
b0159	-945.615140125395	1907.23	0
b0161	-1965.69710115236	3947.39	0
b0162	-1627.38358428551	3270.77	0.0303484
b0163	-500.902262853354	1017.8	0
b0164	-1072.90573498341	2161.81	0.456138
b0166	-1119.2286359299	2254.46	0
b0167	-3847.25600981391	7710.51	0.0349991
b0168	-1085.45041826594	2186.9	0.0910841
b0169	-966.064661603679	1948.13	0.961822
b0170	-1117.8861443688	2251.77	0
b0171	-962.446492873132	1940.89	1.20003e-06
b0172	-741.893751449987	1499.79	0
b0173	-1634.82858123203	3285.66	0
b0174	-1046.82240394565	2109.64	0.165786
b0175	-1031.53332979692	2079.07	0
b0176	-1848.68459564474	3713.37	0.119358
b0177	-3347.15228627914	6710.3	0
b0178	-647.611191999894	1311.22	0
b0179	-1371.71021126868	2759.42	0.121157
b0180	-608.708474575188	1233.42	7.50158e-08
b0181	-1043.95021526374	2103.9	4.90689e-09
b0182	-1582.60710960522	3181.21	0
b0183	-787.577562315086	1591.16	8.89517e-12
b0184	-4812.67155966325	9641.34	0.0224361
b0185	-1324.62525893832	2665.25	0.163424
b0186	-3057.93853806816	6131.88	0.0183831
b0187	-595.679972750695	1207.36	0.0402145
b0188	-1972.17847156927	3960.36	0.156767
b0189	-359.284408995575	734.569	15.1362
b0190	-752.32127588552	1520.64	0.423227
b0192	-1033.16860550215	2082.34	0.0579039
b0193	-1279.33318621951	2574.67	0.344808
b0194	-2328.16418536895	4672.33	0.0428036
b0195	-965.809551683772	1947.62	0
b0196	-567.772273056602	1151.54	0.29068
b0197	-1143.12997576532	2302.26	0.0146192
b0198	-889.654664697313	1795.31	0
b0199	-1436.0065557216	2888.01	0.0329695
b0200	-774.493723716594	1564.99	0
b0207	-1141.86127516751	2299.72	0.0176355
b0208	-1279.92288930005	2575.85	0.286783
b0209	-1118.78623219884	2253.57	0
b0210	-901.311579025452	1818.62	1.3862
b0211	-1875.90225583199	3767.8	0
b0212	-1045.66735219825	2107.33	0.0177191
b0213	-1069.09063021856	2154.18	0.193068
b0214	-663.448590905937	1342.9	0
b0215	-1036.82376152277	2089.65	0.0395798
b0217	-1192.08946572897	2400.18	0.202835
b0218	-442.421492338174	900.843	0
b0219	-1104.84226943738	2225.68	0.226742
b0220	-646.115586031443	1308.23	13.6668
b0221	-3463.73495039107	6943.47	0.0270574
b0222	-782.559666486561	1581.12	0
b0223	-1098.46657632892	2212.93	0
b0224	-1028.65321151843	2073.31	0
b0225	-375.030828977733	766.062	6.88446
b0226	-353.881516041165	723.763	0.0867858
b0227	-1197.89903587757	2411.8	0.0303448
b0228	-738.36746911337	1492.73	0.0903479
