gene_id	likelihood	aic	w
b0002	-11596.6122512028	23209.2	0.0976788
b0003	-4482.11228229772	8980.22	0.126636
b0004	-6060.26852463904	12136.5	0.0984912
b0006	-3922.40523817477	7860.81	0.142903
b0014	-6577.74677970694	13171.5	0.0827078
b0015	-4636.72351825704	9289.45	0.0727721
b0019	-6911.76863678688	13839.5	0.205638
b0023	-762.643523644217	1541.29	0.164957
b0025	-4911.85762989058	9839.72	0.163606
b0026	-12657.656593112	25331.3	0.135269
b0027	-2494.1163757267	5004.23	0.166509
b0028	-2363.67120608445	4743.34	0.184773
b0029	-4302.57788530375	8621.16	0.0856819
b0031	-4143.4128023883	8302.83	0.139385
b0032	-4980.79344134168	9977.59	0.104189
b0033	-12056.0465869095	24128.1	0.046576
b0048	-2234.98592015532	4485.97	0.105301
b0049	-4345.00743208643	8706.01	0.109491
b0050	-1783.92852020228	3583.86	0.131571
b0051	-3683.2433743091	7382.49	0.112829
b0052	-5243.10558031627	10502.2	0.158954
b0053	-6244.04023086175	12504.1	0.13479
b0054	-12054.0191826537	24124	0.151794
b0055	-4049.3699335372	8114.74	0.113768
b0058	-3062.91144305733	6141.82	0.105919
b0059	-13408.9610682198	26833.9	0.126245
b0066	-4064.37876051396	8144.76	0.166963
b0067	-8738.83067784783	17493.7	0.163459
b0068	-5094.05397638366	10204.1	0.160884
b0071	-2888.3964792441	5792.79	0.107296
b0072	-6067.97881656706	12152	0.0737497
b0073	-4983.74440967805	9983.49	0.0854034
b0074	-7153.651379307	14323.3	0.0945089
b0080	-4302.98155559759	8621.96	0.0567923
b0081	-1914.29963509982	3844.6	0.118799
b0082	-4338.41411334395	8692.83	0.124429
b0083	-1511.10832627023	3038.22	0.105681
b0084	-7336.17520441149	14688.4	0.105281
b0085	-7407.9344607224	14831.9	0.155722
b0086	-7452.80241467841	14921.6	0.191063
b0087	-4045.88825482399	8107.78	0.0525676
b0088	-6931.52486936694	13879	0.126601
b0089	-5552.64361138987	11121.3	0.0981123
b0090	-5240.36802999677	10496.7	0.141318
b0091	-6450.85031544472	12917.7	0.0864044
b0093	-4086.90064783448	8189.8	0.175059
b0094	-4538.04271528889	9092.09	0.0352844
b0096	-3302.1635276068	6620.33	0.0560713
b0097	-3358.38091836738	6732.76	0.382014
b0098	-10913.1898227196	21842.4	0.0718943
b0099	-2386.34200508175	4788.68	0.196458
b0102	-4204.3763193854	8424.75	0.189108
b0103	-3809.93708102169	7635.87	0.21457
b0109	-4819.48881539739	9654.98	0.177661
b0112	-6878.69165170669	13773.4	0.123718
b0113	-3352.38946006734	6720.78	0.0781795
b0114	-9596.61714665645	19209.2	0.0798501
b0115	-7522.67416160477	15061.3	0.140324
b0116	-4930.08135630954	9876.16	0.0591265
b0118	-10463.0142650311	20942	0.0597022
b0120	-3201.51761217805	6419.04	0.0581852
b0121	-3981.34780539402	7978.7	0.11187
b0125	-2302.84383851433	4621.69	0.122192
b0126	-3095.76539192445	6207.53	0.11171
b0127	-4218.36096725144	8452.72	0.0910388
b0128	-3402.33580354858	6820.67	0.0773478
b0131	-1733.27635134766	3482.55	0.109184
b0133	-4751.92751457565	9519.86	0.128521
b0134	-4223.56096263241	8463.12	0.126045
b0142	-3056.33728151576	6128.67	0.190764
b0143	-6963.21242472778	13942.4	0.145807
b0144	-5388.88797392769	10793.8	0.215214
