gene_id	psi
b0002	1.11529
b0003	1.26619
b0004	1.55775
b0006	1.19156
b0014	1.22301
b0015	1.64148
b0019	1.04242
b0023	1.81289
b0025	1.21313
b0026	1.16436
b0027	1.13255
b0028	1.20717
b0029	0.982026
b0031	1.07595
b0032	1.16487
b0033	1.46225
b0048	0.970399
b0049	1.27015
b0050	1.08787
b0051	1.41048
b0052	1.14007
b0053	1.29119
b0054	1.06463
b0055	1.1114
b0058	1.06343
b0059	1.64893
b0066	0.985843
b0067	1.1576
b0068	1.17056
b0071	1.4098
b0072	1.47304
b0073	1.39432
b0074	1.35404
b0080	1.63212
b0081	0.888819
b0082	1.28622
b0083	1.67897
b0084	1.26033
b0085	1.34101
b0086	1.22698
b0087	1.68545
b0088	1.40315
b0089	1.07217
b0090	1.31505
b0091	1.33612
b0093	0.908129
b0094	1.50712
b0096	2.12029
b0097	1.16048
b0098	1.79959
b0099	1.22856
b0102	1.05051
b0103	1.12716
b0109	1.31561
b0112	1.09599
b0113	1.34421
b0114	1.24652
b0115	1.02358
b0116	1.77137
b0118	1.58416
b0120	1.36129
b0121	1.47383
b0125	1.52584
b0126	1.14299
b0127	1.45756
b0128	1.2482
b0131	1.078
b0133	1.65113
b0134	1.0639
b0142	1.26833
b0143	1.17354
b0144	1.06824
b0145	1.03338
b0146	1.10967
b0149	1.25169
b0154	1.35202
b0156	1.87498
b0159	1.34067
b0163	1.92356
b0166	1.04407
b0167	1.45411
b0168	1.6344
b0169	0.858435
b0170	1.09611
b0171	2.96907
b0172	1.45018
b0173	1.00238
b0174	0.847438
b0175	1.181
b0176	0.98934
b0177	1.08637
b0178	0.855932
b0179	1.02699
b0180	2.0157
b0181	1.04156
b0182	1.35238
b0183	1.36477
b0184	1.41188
b0185	1.9599
b0188	1.01797
b0189	0.846322
b0194	1.36403
b0195	1.30636
b0196	1.05372
b0197	1.41436
b0198	0.898983
b0199	1.27597
b0200	0.979074
b0209	1.11014
b0211	1.02272
b0212	1.04987
b0213	1.28807
b0214	1.10937
b0215	1.10836
b0222	1.60653
b0223	1.15953
b0237	1.41209
b0238	1.34302
b0239	1.15301
b0242	1.3657
b0243	1.59029
b0369	1.0082
b0386	1.03928
b0388	0.915736
b0393	1.44814
b0401	1.20232
b0402	0.801302
b0405	1.64565
b0406	1.20871
b0407	1.13079
b0408	1.09062
b0409	1.2884
b0414	1.24351
b0415	1.26255
b0416	1.03991
b0417	1.08207
b0418	1.40259
b0420	1.34888
b0421	1.38408
b0423	1.43738
b0425	0.937714
b0434	1.08887
b0435	1.27312
b0436	1.59585
b0437	1.55844
b0438	1.85359
b0439	1.75198
b0440	0.433005
b0441	1.12391
b0444	1.41135
b0448	1.09654
b0449	1.11569
b0450	1.48528
b0451	1.53211
b0460	1.74235
b0463	1.15587
b0464	1.11046
b0469	1.26717
b0470	1.31089
b0471	2.27375
b0472	1.10819
b0473	1.2839
b0474	1.39416
b0475	1.05068
b0482	0.886665
b0489	1.76032
b0495	1.44388
b0522	1.06728
b0523	1.02048
b0524	0.86198
b0525	1.0777
b0526	1.42778
b0529	1.63633
b0605	1.27862
b0622	0.955855
b0628	1.60956
b0630	1.33954
b0631	1.64246
b0632	1.43841
b0634	1.55618
b0635	1.15977
b0636	1.47485
b0639	1.15534
b0640	1.13858
b0641	1.08401
b0642	1.67466
b0655	1.19747
b0657	1.24259
b0658	1.16626
b0659	1.56885
b0660	1.55023
b0661	1.45395
b0662	1.20179
b0674	0.975549
b0676	1.49722
b0677	1.23817
b0678	1.27581
b0679	0.918655
b0680	1.39336
b0683	1.19312
b0684	1.65239
b0685	1.11853
b0686	1.23428
b0687	1.13675
b0688	1.45454
b0710	1.36505
b0713	1.0188
b0720	1.46687
b0721	1.5196
b0722	1.01365
b0723	1.43005
b0724	0.902082
b0726	1.3951
b0727	1.37756
b0728	1.66265
b0729	1.50416
b0733	1.29264
b0734	1.4339
b0737	1.59599
b0738	1.05513
b0739	1.1576
b0740	1.34583
b0741	1.85804
b0742	1.22864
b0754	1.17137
b0755	1.51987
b0757	1.3222
b0758	1.46071
b0759	0.970085
b0761	1.18021
b0767	1.15555
b0774	1.09574
b0775	1.25893
b0776	1.09852
b0777	0.969958
b0778	1.12478
b0779	1.83461
b0780	1.34959
b0783	1.3763
b0797	1.19506
b0812	1.33341
b0820	1.64913
b0827	1.07392
b0849	1.13667
b0861	1.39748
b0862	1.22063
b0863	1.15627
b0864	1.07497
b0867	1.08322
b0874	1.14896
b0878	0.94719
b0879	1.07614
b0880	0.853266
b0881	0.969834
b0882	1.31345
b0884	2.07872
b0886	1.29771
b0887	1.09204
b0888	1.34048
b0889	1.13495
b0890	1.36214
b0891	1.30387
b0892	1.36985
b0893	1.65785
b0902	1.34897
b0904	1.04992
b0907	1.41806
b0908	1.32736
b0910	0.859556
b0911	1.42752
b0912	1.04296
b0914	1.34643
b0915	1.15437
b0920	1.22725
b0921	1.0504
b0922	1.46324
b0923	1.54272
b0926	0.926525
b0927	1.32767
b0928	1.48261
b0930	1.29031
b0932	1.61523
b0945	1.18004
b0947	0.896293
b0948	1.37855
b0949	1.5244
b0950	1.04011
b0951	1.08688
b0952	1.10879
b0954	1.5584
b0956	1.14
b0957	0.963663
b0962	1.31621
b0963	1.09848
b0966	1.15937
b0969	1.64136
b1091	1.07989
b1092	1.38098
b1093	0.916868
b1095	1.22106
b1096	1.04617
b1097	1.01449
b1098	1.23837
b1099	1.17985
b1100	1.20551
b1103	1.71502
b1105	1.1002
b1106	1.00152
b1107	1.19557
b1109	1.59509
b1114	1.32383
b1116	1.28762
b1117	1.38179
b1118	1.07392
b1120	1.20652
b1128	1.31477
b1129	1.03278
b1130	1.57747
b1131	1.7871
b1132	1.20785
b1133	1.4914
b1134	1.17939
b1174	1.46678
b1175	1.50672
b1176	1.0803
b1179	1.36451
b1180	0.903011
b1181	1.39065
b1185	1.1834
b1203	1.41261
b1204	1.37628
b1207	1.35258
b1208	1.14465
b1209	1.17949
b1210	1.14774
b1211	1.44585
b1212	1.07252
b1215	1.42525
b1232	1.269
b1235	0.940024
b1236	1.22808
b1237	1.01171
b1238	1.33174
b1241	1.23248
b1243	1.18396
b1244	1.04997
b1246	1.10992
b1247	1.41077
b1249	1.12097
b1252	1.12422
b1254	1.26613
b1255	1.24813
b1260	1.06056
b1261	1.2631
b1263	1.3236
b1264	1.16912
b1266	1.01465
b1267	1.57511
b1269	1.61451
b1272	1.27852
b1274	1.4272
b1275	1.58156
b1277	1.1311
b1279	0.732013
b1280	1.13147
b1281	1.13359
b1286	1.233
b1288	1.44839
b1290	1.23953
b1291	1.43632
b1292	1.09919
b1293	1.07844
b1294	1.15231
b1303	1.22729
b1304	1.38791
b1306	1.33744
b1322	0.999486
b1323	1.12447
b1329	1.22361
b1333	0.976465
b1334	1.24352
b1344	1.3521
b1412	0.933183
b1413	1.47361
b1539	1.01807
b1593	1.1386
b1594	1.0004
b1599	0.91694
b1600	0.898085
b1602	1.33748
b1603	1.21271
b1604	1.13231
b1610	1.17656
b1611	1.30185
b1613	1.12791
b1614	1.02298
b1627	1.24869
b1628	1.06482
b1629	1.22439
b1630	1.0867
b1631	1.28867
b1632	1.11223
b1633	1.67414
b1637	1.45283
b1638	1.48456
b1640	1.39421
b1641	1.12779
b1642	0.964914
b1652	0.91834
b1654	1.04219
b1662	1.66269
b1676	1.26758
b1677	0.750937
b1679	1.23579
b1680	1.13069
b1681	1.0938
b1682	1.32958
b1683	1.42778
b1688	1.07333
b1702	1.30613
b1703	1.0888
b1704	1.32321
b1708	1.2943
b1709	1.00397
b1711	0.990192
b1712	1.3522
b1713	1.44548
b1714	1.91515
b1716	1.51952
b1719	1.61866
b1725	1.00198
b1726	1.01823
b1728	0.796517
b1749	1.42652
b1763	1.2494
b1765	1.04577
b1766	1.16754
b1777	1.64187
b1778	1.54612
b1779	0.878082
b1789	0.881564
b1804	1.39721
b1807	1.22163
b1809	0.968817
b1812	1.19285
b1814	1.31098
b1817	1.08502
b1818	1.10491
b1819	1.2422
