gene_id	likelihood	aic	w
b0002	-11597.3259170626	23208.7	0.0988734
b0003	-4483.37653629797	8980.75	0.130057
b0004	-6066.56605800402	12147.1	0.104723
b0006	-3923.2637244479	7860.53	0.145625
b0014	-6578.74378502132	13171.5	0.0848569
b0015	-4641.84306239124	9297.69	0.0793658
b0019	-6911.84531257008	13837.7	0.207258
b0023	-763.459871510667	1540.92	0.171531
b0025	-4913.04595693872	9840.09	0.168066
b0026	-12659.0132641796	25332	0.138188
b0027	-2494.37343850708	5002.75	0.170059
b0028	-2364.08204584949	4742.16	0.189583
b0029	-4302.58589429911	8619.17	0.0854683
b0031	-4143.52619625502	8301.05	0.140931
b0032	-4981.41938996591	9976.84	0.105947
b0033	-12062.3285039892	24138.7	0.0486485
b0048	-2234.99654839723	4483.99	0.10495
b0049	-4346.50695875313	8707.01	0.113838
b0050	-1783.99198748194	3581.98	0.132838
b0051	-3686.03603309173	7386.07	0.116198
b0052	-5243.61060770882	10501.2	0.161198
b0053	-6246.38297796542	12506.8	0.138511
b0054	-12054.2870640565	24122.6	0.152356
b0055	-4049.63470751777	8113.27	0.115217
b0058	-3062.96497307544	6139.93	0.106637
b0059	-13428.9370364911	26871.9	0.136012
b0066	-4064.38309694869	8142.77	0.166668
b0067	-8740.23613149929	17494.5	0.166567
b0068	-5094.8610255049	10203.7	0.163386
b0071	-2890.273636583	5794.55	0.111045
b0072	-6071.81371835665	12157.6	0.0771632
b0073	-4986.78124223345	9987.56	0.0893206
b0074	-7156.83425437841	14327.7	0.0974097
b0080	-4309.03919900866	8632.08	0.0596961
b0081	-1914.46113510675	3842.92	0.117693
b0082	-4339.7862360129	8693.57	0.128498
b0083	-1513.79493617266	3041.59	0.110137
b0084	-7337.98739906868	14690	0.108084
b0085	-7411.20858606474	14836.4	0.161883
b0086	-7454.7185876541	14923.4	0.195694
b0087	-4051.21812884881	8116.44	0.0567569
b0088	-6936.07402957696	13886.1	0.133698
b0089	-5552.8216237763	11119.6	0.0990532
b0090	-5242.45626324006	10498.9	0.145508
b0091	-6453.49850596075	12921	0.0895062
b0093	-4087.145124269	8188.29	0.173915
b0094	-4541.15428465897	9096.31	0.0372093
b0096	-3309.21555497284	6632.43	0.0636613
b0097	-3358.88271522389	6731.77	0.386425
b0098	-10929.9988404291	21874	0.0778905
b0099	-2387.0012620106	4788	0.204322
b0102	-4204.45181032379	8422.9	0.190402
b0103	-3810.27644162784	7634.55	0.217678
b0109	-4821.83500626174	9657.67	0.183033
b0112	-6879.02409569141	13772	0.125413
b0113	-3354.1249316999	6722.25	0.08094
b0114	-9598.65612628195	19211.3	0.0824546
b0115	-7522.68999901904	15059.4	0.140668
b0116	-4934.95397917072	9883.91	0.0649813
b0118	-10471.9105927192	20957.8	0.0636156
b0120	-3202.94944760252	6419.9	0.060419
b0121	-3984.67327998122	7983.35	0.116022
b0125	-2304.64312980014	4623.29	0.130932
b0126	-3096.13200123224	6206.26	0.113725
b0127	-4221.871974289	8457.74	0.0956816
b0128	-3403.35061565472	6820.7	0.0798475
b0131	-1733.31884383992	3480.64	0.110005
b0133	-4760.3928718385	9534.79	0.14055
b0134	-4223.65648043395	8461.31	0.126902
b0142	-3057.53601058947	6129.07	0.196948
b0143	-6964.19507581333	13942.4	0.14867
b0144	-5389.03913265186	10792.1	0.2169
b0145	-1443.8469601938	2901.69	0.027536
b0146	-4055.68566153848	8125.37	0.212549
b0149	-12356.7094791291	24727.4	0.119178
b0154	-5671.32688313922	11356.7	0.0997824
b0156	-1358.50208684154	2731	0.0670734
b0159	-3465.58459836963	6945.17	0.143178
b0163	-1608.23765482792	3230.48	0.077066
b0166	-3451.10773269043	6916.22	0.0656075
b0167	-13733.9885779895	27482	0.131967
b0168	-3425.3092585955	6864.62	0.112251
b0169	-2145.54978592403	4305.1	0.0699718
b0170	-3331.09381102725	6676.19	0.184806
b0171	-2674.67205424584	5363.34	0.0547499
b0172	-2312.0453895116	4638.09	0.122778
b0173	-6473.71033267432	12961.4	0.178219
b0174	-3799.02380577769	7612.05	0.164573
b0175	-4359.57475973264	8733.15	0.178472
b0176	-6740.60562358689	13495.2	0.189748
b0177	-10795.9605110201	21605.9	0.116363
b0178	-2419.1794067505	4852.36	0.219869
b0179	-4387.59816581994	8789.2	0.111263
b0180	-1712.21768208999	3438.44	0.0751721
b0181	-3567.76945883198	7149.54	0.132799
b0182	-5682.38932942294	11378.8	0.118673
b0183	-2862.98888321567	5739.98	0.109197
b0184	-14296.7474615303	28607.5	0.0733151
b0185	-3675.06743147862	7364.13	0.0735871
b0188	-9232.7839323752	18479.6	0.282325
b0189	-1475.29792129601	2964.6	0.183438
b0194	-7237.73022591468	14489.5	0.0944471
b0195	-3585.5438916149	7185.09	0.164872
b0196	-2339.58156912989	4693.16	0.290519
b0197	-3441.98317839066	6897.97	0.0768999
b0198	-2951.21153166143	5916.42	0.0653553
b0199	-4824.29043467288	9662.58	0.102168
b0200	-2745.79030948617	5505.58	0.141334
b0209	-4683.66780492716	9381.34	0.130806
b0211	-6969.91825367947	13953.8	0.198179
b0212	-4486.26344147875	8986.53	0.208466
b0213	-4157.47342723341	8328.95	0.197813
b0214	-2243.05769896954	4500.12	0.0957883
b0215	-3559.49490767246	7132.99	0.111446
b0222	-2427.13830960929	4868.28	0.076463
b0223	-3617.70644134218	7249.41	0.101316
b0237	-7054.04844901401	14122.1	0.13466
b0238	-1746.50431318562	3507.01	0.0523093
b0239	-7095.30366657046	14204.6	0.185093
b0242	-5101.43598934453	10216.9	0.0868904
b0243	-6525.60443808527	13065.2	0.162254
b0369	-5759.72042702537	11533.4	0.198143
